Owner,Recipe,Description,Ingredients,Steps,Category,Flavor Profile,Nutrition Labels,Prep (min),Cook (min),Servings,Difficulty,Estimated Cost,Tags,Meal Type,Mood,Ratings
,Paksiw na Isda,"Ang Paksiw na Isda ay isa sa mga pinakasikat at pinaka-tradisyonal na paraan ng pagluluto ng isda sa Pilipinas. Ang isda ay niluluto sa suka, tubig, at iba't ibang pampalasa tulad ng luya, bawang, sibuyas, at mahabang sili. Ang asim ng suka ay nagsisilbing natural na pang-preserba at nagbibigay ng natatanging maasim na lasa sa sabaw. Ang ampalaya ay maaaring idagdag para sa karagdagang lasa at sustansya. Ito ay isang matipid, mabilis, at masustansiyang ulam na perpekto para sa pang-araw-araw na pagkain.","2 pcs. isda nilinis at tinanggal ang mga kaliskis, 1 maliit na luya hiniwa at tinadtad, 6 cloves garlic tinanggal ang balat, 1/2 tasang suka, 1 tasang tubig, 1 medium sibuyas hiniwa-hiwa, 1 maliit na ampalaya hiniwa-hiwa (optional), 3 pcs. mahabang sili, 2 kutsaritang asin, 1 kutsaritang buong paminta","Step 1: Initin ang kaserola sa katamtamang apoy at ibuhos ang suka at tubig.

Step 2: Idagdag ang asin at buong paminta saka haluin nang maayos. Bayaang kumulo ng ilang minuto.

Step 3: Iayos ang isda sa kaserola kasama ang luya, bawang, sibuyas, ampalaya, at mahabang sili nang maayos para maluto nang pantay.

Step 4: Takpan ang kaserola at pakuluan sa katamtamang init ng apoy ng 12 hanggang 15 minuto hanggang maluto nang husto ang isda.

Step 5: Patayin ang apoy at isalin sa mangkok nang maingat para hindi madurog ang isda.

Step 6: Ihain nang mainit kasabay ng steamed rice. Tandaan: Maaari mong i-substitute ang asin sa 3/4 hanggang 1 kutsarang patis.",Ulam (Main Dish),"Maasim, Maalat, Masabaw",Calories: ~160 kcal | Protein: ~22g | Fat: ~5g | Carbs: ~4g | Sodium: ~390mg,10,20,2,Easy,Low Cost,"Isda, Paksiw, Suka, Filipino, Ulam, Matipid, Tradisyonal","Tanghalian, Hapunan","Simple and contented, Nostalgic, Budget day, Calm",
,Papaitan,"Ang Papaitan ay isang natatangi at matapang na putaheng Pilipino na gawa sa iba't ibang parte ng baka tulad ng tuwalya, small intestine, puso, at manipis na hiwa ng baka. Ang pangunahing katangian ng putaheng ito ay ang pait na nagmumula sa apdo ng baka na siyang nagbibigay ng kakaibang lasa na hindi mo mahahanap sa ibang putahe. Ang pagsasama ng luya, bawang, sibuyas, mahabang sili, at kalamansi o lemon ay nagbabalanse ng pait at nagpapahusay ng kabuuang lasa. Ito ay isang popular na pulutan at sikat na almusal sa Ilocos at iba pang bahagi ng Pilipinas.","1/2 lb tuwalya ng baka, 1/2 lb small intestine ng baka, 1/2 lb baka hiniwa nang maninipis, 1/2 lb puso ng baka, 2 kutsarang apdo, 2 maliit na luya hiniwa-hiwa nang pahaba, 1 medium sized sibuyas hiniwa-hiwa ng maliliit na kuwadrado, 6 cloves garlic dinurog at tinadtad, 8 tasang tubig, 4 hanggang 6 pcs. mahabang sili, 2 1/2 kutsarang asin, 1/2 kutsarang dinurog na itim na paminta, 1 hanggang 2 pcs. lemon o 5 hanggang 8 pcs. kalamansi, 2 kutsarang mantika","Step 1: Initin ang kaserola at ibuhos ang 4 tasang tubig at maglagay ng 1 kutsarang asin. Bayaang kumulo sa mataas na apoy.

Step 2: Ilagay ang tuwalya ng baka at small intestines saka pakuluan sa katamtamang init ng apoy hanggang lumambot ang mga ito.

Step 3: Patayin ang apoy. Tanggalin ang malambot na tuwalya at small intestines ng baka saka hiwa-hiwain nang maayos. Itabi.

Step 4: Initin ang isa pang kaserola at ibuhos ang mantika. Kapag mainit na ang mantika, igisa ang bawang, sibuyas, at luya hanggang mabango.

Step 5: Idagdag ang baka, puso, at hiniwa-hiwang small intestines at tuwalya ng baka saka lutuin ng 3 hanggang 4 na minuto hanggang bahagyang kayumanggi.

Step 6: Magdagdag ng 1 1/2 kutsarang asin at dinurog na itim na paminta saka haluin ng 1 minuto para mapagsamahin ang lahat ng lasa.

Step 7: Ibuhos ang natitirang 4 tasang tubig at bayaang kumulo sa mahinang apoy ng 40 minuto. Maaari magdagdag ng tubig kung kinakailangan para hindi matuyo ang sabaw.

Step 8: Idagdag ang apdo at pakuluan sa mahinang apoy ng 5 minuto. Tikman at ayusin ang lasa ayon sa panlasa.

Step 9: Idagdag ang mahabang sili at pinigang lemon juice o kalamansi saka pakuluan sa mahinang apoy ng 3 minuto para lumalalim ang lasa.

Step 10: Patayin ang apoy at isalin sa isang mangkok. Ihain nang mainit.",Ulam (Main Dish or Bar snacks),"Mapait, Maalat, Maasim, Maanghang",Calories: ~290 kcal | Protein: ~30g | Fat: ~16g | Carbs: ~6g | Sodium: ~620mg,20,60,6,Easy,Medium Cost,"Baka, Papaitan, Pulutan, Filipino, Ilocano, Tradisyonal, Espesyal","Tanghalian, Hapunan, Pulutan","Adventurous, Brave, Bold, After-party hunger, Thrill-seeking",
,Humba,"Ang Humba ay isang klasikong putaheng Bisaya na katulad ng adobo ngunit mas matamis at mas mayaman ang lasa. Ginagawa ito mula sa liempo na niluto sa pinagsamang pineapple juice, toyo, suka, at pulang asukal na nagbibigay ng kakaibang matamis-alat na lasa. Ang salted black beans at tuyong puso ng saging ay nagdadagdag ng lalim at natatanging texture sa putaheng ito. Ang dahon ng laurel at buong paminta ay nagbibigay ng mabangong aroma. Ito ay isang paboritong ulam sa Visayas na madalas inihahain sa mga espesyal na okasyon at handaan.","2 lbs liempo, 1 tasang pineapple juice, 1 malaking sibuyas hiniwa-hiwa nang pakuwadrado, 5 cloves garlic tinadtad, 2 kutsarang salted black beans, 2 kutsarang toyo, 2 kutsarang suka, 2 1/2 kutsarang pulang asukal, 1/2 tasang tuyong puso ng saging, 2 pcs. dahon ng laurel, 1 kutsaritang buong paminta","Step 1: Initin ang mantika sa kaserola at iprito ang liempo hanggang maluto at maging kayumanggi ang kulay sa lahat ng gilid.

Step 2: Idagdag ang sibuyas at bawang saka iluto hanggang lumambot ang sibuyas at maging mabango.

Step 3: Ilagay ang toyo, buong paminta, at dahon ng laurel. Haluin nang maayos para mapagsamahin ang lasa.

Step 4: Ibuhos ang pineapple juice at pabayaang kumulo. Pakuluan sa katamtamang init ng apoy hanggang lumambot ang liempo. Dagdagan ng tubig kung kinakailangan.

Step 5: Idagdag ang suka at hintayin na kumulo muli ang mixture. Pakuluan sa katamtamang init ng apoy sa loob ng 3 minuto.

Step 6: Kutsarahin ang salted black beans at pulang asukal saka pakuluan sa mahinang apoy ng 5 minuto hanggang lumapot ang sarsa.

Step 7: Idagdag ang tuyong puso ng saging at pakuluan sa mahinang apoy ng 5 hanggang 8 minuto hanggang malambot.

Step 8: Isalin sa mangkok at ihain habang mainit kasabay ng kanin.",Ulam (Main Dish),"Matamis, Maalat, Maasim, Malasa",Calories: ~450 kcal | Protein: ~28g | Fat: ~28g | Carbs: ~22g | Sodium: ~560mg,15,60,6,Moderate,Medium Cost,"Baboy, Humba, Bisaya, Filipino, Ulam, Espesyal, Matamis","Tanghalian, Hapunan","Celebratory, Bisaya pride, Festive, Nostalgic",
,Kare-Kare,"Ang Kare-Kare ay isa sa mga pinakaespesyal at pinaka-iconic na putaheng Pilipino na kilala sa kapal at makulay na peanut sauce nito. Ginagawa ito gamit ang tuwalya at laman ng baka na niluto nang matagal hanggang maging napakasarap at malambot. Ang pinagsamang dinurog na mani, peanut butter, at pampakulay mula sa atsuete ang nagbibigay ng mapungay na dilaw-kahel na kulay at malalim na lasa ng sarsa. Ang iba't ibang gulay tulad ng puso ng saging, talong, sitaw, at pechay ay nagdadagdag ng sustansya at texture. Hindi kumpleto ang Kare-Kare kung wala ang bagoong na ihahain sa tabi bilang sawsawan.","3 lbs tuwalya ng baka at laman ng baka hiniwa-hiwa, 1 maliit na puso ng saging hiniwa nang pinong-pino, 1 tali ng Tagalog pechay, 1 tali ng sitaw hiniwa ng 2 inch, 4 pcs. talong hiniwa nang pahaba, 1 tasang dinurog na mani, 1/2 tasang peanut butter, 1/2 tasang bagoong, 1 litro ng tubig, 1/2 tasang atsuete na nilusaw sa mainit na tubig at tinanggal ang buto, 1/2 tasang tinustang dinurog na kanin, 1 kutsarang bawang tinadtad, 1 malaking sibuyas tinadtad, asin at paminta","Step 1: Sa malaking kaserola, pakuluan ang tubig sa mataas na apoy.

Step 2: Ilagay ang laman at tuwalya ng baka na sinundan ng sibuyas saka pakuluan ng 2.5 hanggang 3 oras o hanggang lumambot ang karne. Kung gagamit ng pressure cooker, 35 minuto lamang.

Step 3: Kapag malambot na ang karne, idagdag ang dinurog na mani, peanut butter, at pampakulay mula sa atsuete saka pakuluan sa mahinang apoy ng 5 hanggang 7 minuto.

Step 4: Idagdag ang tinustang dinurog na kanin at pakuluan sa mahinang apoy ng 5 minuto para lumapot ang sabaw.

Step 5: Sa magkahiwalay na kaserola, igisa ang bawang saka idagdag ang puso ng saging, talong, at sitaw. Lutuin ng 5 minuto. Maaari ring i-blanch ang mga gulay kung ayaw ng mamantikang pagkain.

Step 6: Isalin ang mga nalutong gulay sa malaking kaserola kung saan nandoon ang iba pang sangkap. Haluin nang maayos.

Step 7: Dagdagan ng asin at paminta bilang pampalasa ayon sa panlasa.

Step 8: Ihain nang mainit kasama ang bagoong sa tabi bilang sawsawan.",Ulam (Main Dish),"Maalat, Mani, Creamy, Malasa",Calories: ~520 kcal | Protein: ~38g | Fat: ~30g | Carbs: ~25g | Sodium: ~640mg,20,180,6,Easy,High Cost,"Baka, Kare-Kare, Filipino, Ulam, Espesyal, Peanut Sauce, Tradisyonal","Tanghalian, Hapunan","Festive, Celebratory, Indulgent, Special Sunday mood, Family gathering",
,Pesang Isda – Fish in Ginger Soup,Ang Pesang Isda ay isang magaan at malusog na sopas na Pilipino na pangunahing gumagamit ng sariwang luya bilang pampalasa at pampabango ng sabaw. Ang isda ay niluluto sa malinaw na sabaw ng luya at onion leeks na nagbibigay ng natural at banayad na lasa. Ang repolyo o iba pang berdeng gulay ay idinagdag sa huli para mapanatili ang sariwang kulay at texture nito. Ang rice water o tubig na ginamit sa paghuhugas ng bigas ay tradisyonal na ginagamit sa lugar ng plain water para sa mas malambot at mas masustansiyang sabaw. Ito ay isang perpektong ulam para sa mga naghahanap ng magaan at masustansiyang pagkain.,"1 medium tilapia hiniwa sa dalawang bahagi, 1/2 tasang tinadtad na onion leeks, 1 inch sariwang ugat ng luya hiniwa na parang medallions, 1/2 ulo ng maliit na repolyo hiniwa-hiwa o anumang berdeng dahon na gulay, 1 kutsaritang buong paminta, 6-8 tasang tubig o rice water, 1 kutsarang mantika, asin pampalasa","Step 1: Sa isang kaserolang kasya ang sabaw, initin ang mantika at igisa ang luya at onion leeks nang ilang minuto hanggang mabango.

Step 2: Ibuhos ang tubig o rice water at idagdag ang buong paminta.

Step 3: Pabayaang kumulo at ipakulo sa mahinang apoy ng mga 10 minuto para mahalo nang mabuti ang lasa sa sabaw.

Step 4: Idagdag ang isda, takpan, at iluto nang 10 minuto pa o hanggang maluto nang husto ang isda.

Step 5: Lagyan ng asin para sa pampalasa ayon sa panlasa.

Step 6: Idagdag ang mga gulay at iluto lamang hanggang kapag sila'y lanta na. Huwag i-overcook para mapanatili ang kulay at sustansya ng gulay.

Step 7: Patayin ang apoy at ihain nang mainit kasabay ng kanin.",Sopas (Soup),"Maalat, Mabango, Magaan, Masabaw",Calories: ~190 kcal | Protein: ~24g | Fat: ~7g | Carbs: ~6g | Sodium: ~380mg,10,25,3,Easy,Low Cost,"Isda, Tilapia, Luya, Sopas, Filipino, Magaan, Masustansya","Tanghalian, Hapunan","Recovering, Sick, Light and healthy mood, Peaceful",
,Menudo,"Ang Menudo ay isang sikat na putaheng Pilipino na gawa sa pork belly at atay ng baboy na niluto sa masarap na tomato sauce kasama ang carrots, patatas, at red bell pepper. Ang karne ay ibinababad muna sa toyo at lemon juice para mas malasa at malambot. Ang tamis ng tomato sauce at pulang asukal ay nagbabalanse sa alat ng toyo at pagkaasim ng lemon. Ang makulay na mga gulay ay nagpapaganda ng hitsura at nagdadagdag ng sustansya sa bawat pinggan. Ito ay isang paboritong ulam sa mga handaan at espesyal na okasyon ng pamilyang Pilipino.","
2 lbs pork belly (mga 1 kilo), 1/2 lb atay ng baboy (mga 1/4 kilo), 1 tasang carrots hiniwa nang maliliit na kuwadrado, 1 tasang patatas hiniwa nang maliliit na kuwadrado, 1 tasang red bell pepper tinadtad, 1/2 tasang toyo, 1/2 pc. lemon o 4 pcs. calamansi, 1 maliit na sibuyas tinadtad, 3 cloves garlic hiniwa nang pinong-pino, 1 kutsaritang pulang asukal, 2 tasang tomato sauce, 1 tasang tubig, 1/4 tasang mantika","Step 1: Ibabad ang baboy sa toyo at lemon juice nang mga 1 oras para lumambot ang karne at sumipsip ng lasa.

Step 2: Initin ang kawali at maglagay ng mantika sa katamtamang apoy.

Step 3: Iprito ang patatas at carrots ng mga 5 minuto hanggang bahagyang luto at itabi.

Step 4: Igisa ang bawang at sibuyas sa magkatulad na kawali kung saan ipinirito ang mga gulay hanggang mabango at malambot.

Step 5: Idagdag ang binabad na pork belly at tubig saka bayaang kumulo sa katamtamang init ng apoy ng 15 minuto hanggang magsimulang lumambot ang karne.

Step 6: Idagdag ang atay ng baboy at tomato sauce at bayaang kumulo sa katamtamang init ng apoy ng 10 minuto.

Step 7: Idagdag ang piniritong carrots at patatas, red bell pepper, at pulang asukal saka pakuluan muli sa mahinang apoy ng 5 minuto.

Step 8: Dagdagan ng asin at paminta pampalasa ayon sa panlasa.

Step 9: Ihain nang mainit kasabay ng kanin.",Ulam (Main Dish),"Matamis, Maalat, Maasim-tamis, Malasa",Calories: ~410 kcal | Protein: ~30g | Fat: ~24g | Carbs: ~20g | Sodium: ~580mg,70,35,6,Moderate,High Cost,"Baboy, Menudo, Filipino, Ulam, Espesyal, Pamilya, Handaan","Tanghalian, Hapunan","Festive, Birthday mood, Happy, Celebratory",
,Lechon Kawali,"Ang Lechon Kawali ay isa sa mga pinakasikat at pinaka-inaabangan na putaheng Pilipino na kilala sa napakacrunchy nitong balat at malambot na karne sa loob. Ang liempo ay pinakuluan muna kasama ang pampalasa hanggang lumambot bago i-deep fry hanggang maging ginintuang kayumanggi at lumutong ang balat. Ang lihim sa perpektong lechon kawali ay ang pagtitiyak na matuyo ang karne bago iprito para makamit ang pinaka-crunchy na resulta. Perpekto itong ihain kasama ang lechon sauce, suka, o bagoong. Maaari ring gamitin sa sinigang o kare-kare bilang substitute sa regular na baboy.","2 lbs liempo, 2 kutsarang asin, 2 kutsarang buong paminta, 5 pcs. dahon ng laurel, 3 tasang mantika, 34 ounces tubig","Step 1: Ibuhos ang tubig sa isang malaking kaserola at pabayaang kumulo sa mataas na apoy.

Step 2: Ilagay ang liempo saka dagdagan ng 1 kutsarang asin, paminta, at dahon ng laurel saka pakuluan sa katamtamang init ng apoy ng 30 minuto o hanggang lumambot ang karne.

Step 3: Tanggalin ang karne sa kaserola at pabayaang lumamig ng ilang minuto sa labas para matuyo ang balat.

Step 4: Ikalat ang 1 kutsarang asin sa karne nang pantay-pantay. Siguraduhing nakakalat ang asin sa lahat ng bahagi ng karne para maging mas malasa.

Step 5: Ide-deep fry na ngayon ang karne. Sa isang tuyong kaserola, maglagay ng mantika at pabayaang uminit nang husto.

Step 6: Kapag mainit na ang mantika, ilagay ang karne sa kaserola at lutuin magkabila hanggang maging brown ang kulay at lumutong ang balat.

Step 7: Tanggalin ang karne sa kaserola at pabayaang lumamig. Kapag medyo humupa na ang init, hiwain ayon sa gustong laki at ihain nang mainit.",Ulam (Main Dish),"Maalat, Malutong, Masustansya, Malasa",Calories: ~520 kcal | Protein: ~25g | Fat: ~42g | Carbs: ~2g | Sodium: ~530mg,10,50,6,Moderate,Medium Cost,"Baboy, Lechon Kawali, Filipino, Ulam, Crunchy, Espesyal, Paboritong","Tanghalian, Hapunan","Indulgent, Celebratory, Craving satisfaction, Treat yourself",
,Kinilaw na Dulong,"Ang Kinilaw na Dulong ay isang sariwang at maasim na putaheng Pilipino na ginagawa nang walang pagluluto sa apoy. Ang dulong o baby fish ay ""niluluto"" lamang ng natural na citric acid mula sa lemon o calamansi na unti-unting nagpapalambot at nagpapaluto ng karne ng isda. Ang luya, siling labuyo, at paminta ay nagdadagdag ng anghang at lalim ng lasa. Ito ay isang popular na pulutan at meryenda na paboritong-paborito dahil sa sariwang lasa nito. Bukod sa dulong, maaari ring gamitin ang tuna o tanigue para sa iba't ibang uri ng kinilaw.","
1/2 lb dulong nilinis, 1 hanggang 2 pcs. ng lemon o 6 hanggang 8 pcs. calamansi, 1 1/2 kutsarang luya dinurog, 2 kutsaritang asin, 1/2 kutsaritang dinurog na itim na paminta, 1 hanggang 2 kutsaritang siling labuyo dinurog","Step 1: Ipagsama ang dulong, asin, at itim na paminta at dahan-dahang ihalo nang maigi hanggang mahalo ang lahat ng sangkap nang pantay-pantay.

Step 2: Idagdag ang dinurog na luya at dinurog na siling labuyo saka ipagpatuloy ang paghalo hanggang sa ang lahat ay pantay-pantay na naihalo at kumalat sa buong isda.

Step 3: Pigain ang lemon o calamansi at dahan-dahang ihalo ang mixture para ma-distribute ang juice nang pantay sa lahat ng sangkap.

Step 4: I-refrigerate ng mga 30 minuto. Sa stage na ito, ang citric acid mula sa lemon o calamansi ay unti-unting lulutuin ang isda nang natural hanggang maging malambot at opaque.

Step 5: Isalin sa isang serving bowl at ihain nang malamig.",Pulutan (Appetizer),"Maasim, Maalat, Maanghang, Sariwa",Calories: ~120 kcal | Protein: ~18g | Fat: ~3g | Carbs: ~4g | Sodium: ~400mg,10,30,3,Easy,Low Cost,"Dulong, Kinilaw, Isda, Filipino, Pulutan, Sariwa, Maasim",,"Adventurous, Bold, Party mood, Pulutan vibes",
,Lengua Estofada,"Ang Lengua Estofada ay isang marangyang putaheng Pilipino-Espanyol na gawa sa dila ng baka na niluto nang matagal hanggang maging napakasarap at malambot. Ang dila ay pinakuluan muna, tinanggal ang balat, at hiniwa nang manipis bago lutuin sa masarap na tomato sauce kasama ang mushrooms, green olives, at patatas. Ang green olives ay nagdadagdag ng natatanging maalat at maasim na lasa na nagbabalanse sa tamis ng tomato sauce. Ang beef cube ay nagpapalakas ng lasa ng sabaw. Ito ay isang espesyal na putahe na karaniwang inihahain sa mga handaan at espesyal na okasyon.","2 lbs dila ng baka nilinis pinakulo tinanggal ang balat at hiniwa nang manipis, 1 tasang tomato sauce, 1 pc. malaking patatas binalatan at hiniwa nang manipis crosswise, 1 kutsaritang bawang tinadtad, 1 medium-sized sibuyas tinadtad, 1 pc. beef cube, 1/2 tasang onion leeks tinadtad, 1/2 tasang green olives, 2 tasang white mushrooms hiniwa-hiwa, 1 kutsarang oyster sauce (optional), 1 tasang mantika, 3 tasang tubig","Step 1: Igisa ang bawang at sibuyas sa katamtamang apoy hanggang mabango at malambot.

Step 2: Ilagay ang dila ng baka at iluto ng ilang minuto para masipsip ng karne ang lasa ng ginisa.

Step 3: Idagdag ang tomato sauce, beef cube, at tubig saka pakuluan sa mahinang apoy ng 1 hanggang 1 1/2 oras. Kung gagamit ng pressure cooker, 30 minuto lamang. Dagdagan ng tubig kung kinakailangan.

Step 4: Sa magkahiwalay na kaserola, painitin ang mantika at iprito ang patatas hanggang ginintuang kayumanggi. Itabi.

Step 5: Sa magkatulad na kaserola, tanggalin ang sobrang mantika at igisa ang mushrooms hanggang malambot.

Step 6: Dagdagan ng oyster sauce saka itabi kasama ng mushrooms.

Step 7: Kapag malambot na ang dila ng baka, magdagdag ng asin, paminta, at onion leeks saka pakuluan sa mahinang apoy ng 5 minuto.

Step 8: Ihain ang dila ng baka kasama ang piniritong patatas at iginisang mushrooms sa pinggan.",Ulam (Main Dish),"Maalat, Maasim-tamis, Malasa, Malakas ang Lasa",Calories: ~480 kcal | Protein: ~35g | Fat: ~28g | Carbs: ~20g | Sodium: ~620mg,20,100,6,Easy,High Cost,"Baka, Lengua, Estofada, Filipino, Espanyol, Ulam, Espesyal, Handaan","Tanghalian, Hapunan","Fancy, Sophisticated, Celebratory, Special dinner mood",
,Hototay Soup,"Ang Hototay Soup ay isang masustansya at makulay na sopas na may impluwensiya ng Intsik na napakasikat sa mga Pilipino. Ito ay binubuo ng iba't ibang karne tulad ng baboy, manok, at atay ng baboy na pinagsama sa masarap na chicken stock kasama ang shiitake mushrooms, carrots, at repolyo. Ang hilaw na itlog ay idinagdag sa bawat mangkok bago ihain para sa dagdag na sustansya at creamy na texture. Ang hototay soup ay isang all-in-one na pagkain na puno ng protina, bitamina, at mineral na nagbibigay ng lakas at init sa katawan lalo na sa malamig na panahon.","1/2 lb baboy hiniwa nang maninipis, 1/2 lb pinakuluang chicken breast himay-himay, 1/4 lb atay ng baboy hiniwa nang pinong-pino, 4 hanggang 6 tasang chicken stock o chicken broth, 2 tasang repolyo o hiniwa-hiwang Baguio pechay, 1-1/2 tasang sariwang shiitake mushrooms hiniwa-hiwa, 1 tasang carrots hiniwa-hiwa, 1/2 tasang onion leeks hiniwa nang pinong-pino, 1 medium sibuyas tinadtad, 2 kutsaritang tinadtad na bawang, 3 hanggang 4 pcs. hilaw na itlog, 2 kutsaritang asin, 1 kutsaritang dinurog na paminta, 2 kutsarang mantika","Step 1: Painitin ang mantika sa kaserola sa katamtamang apoy.

Step 2: Igisa ang bawang at sibuyas hanggang mabango at transparent.

Step 3: Kapag malambot na ang sibuyas, idagdag ang baboy at lutuin hanggang maging light brown ang kulay ng karne.

Step 4: Ilagay ang manok at atay saka lutuin ng 3 hanggang 5 minuto hanggang maluto nang husto.

Step 5: Ibuhos ang chicken stock o chicken broth at bayaang kumulo sa mahinang apoy ng 7 hanggang 10 minuto.

Step 6: Idagdag ang carrots at mushrooms. Ihalo at iluto ng 3 minuto.

Step 7: Ilagay ang repolyo, asin, at dinurog na paminta. Ihalo at iluto ng 2 minuto.

Step 8: Patayin ang apoy saka ilagay sa mga mangkok nang maayos.

Step 9: Pangibabawan ng isang hilaw na itlog ang bawat bowl para sa karagdagang sustansya.

Step 10: Wisikan ng onion leeks at ihain nang mainit.",Sopas (Soup),"Maalat, Malasa, Masabaw, Mabango",Calories: ~320 kcal | Protein: ~30g | Fat: ~16g | Carbs: ~12g | Sodium: ~550mg,20,30,3,Moderate,Medium Cost,"Baboy, Manok, Sopas, Filipino-Chinese, Hototay, Masustansya, Espesyal","Almusal, Tanghalian, Hapunan","Cold weather, Nurturing, Comforted, Cozy",
,Kaldereta,"Ang Kaldereta ay isa sa mga pinakasikat at pinaka-espesyal na putaheng Pilipino na gawa sa baka na niluto sa masarap na tomato sauce kasama ang liver spread, green olives, at iba't ibang gulay. Ang liver spread ang siyang nagbibigay ng kakaibang lalim at pagkakaiba ng lasa ng kaldereta kumpara sa ibang beef stew. Ang green olives ay nagdadagdag ng bahagyang pait at asim na nagbabalanse sa tamis ng tomato sauce. Ang carrots, patatas, at bell pepper ay nagpapaganda ng kulay at nagdadagdag ng sustansya. Ito ay isang putaheng madalas inihahain sa mga espesyal na okasyon, Pasko, at iba pang pagtitipon ng pamilya.","2 lbs baka hiniwa-hiwa nang pakuwadrado, 3 garlic cloves dinurog at tinadtad, 1 sibuyas hiniwa nang pinong-pino, 4 tasang tubig, 1 tasang red bell pepper hiniwa ng mahahabang piraso, 1 tasang tomato sauce, 1/2 tasang liver spread o liver paste, 1 kutsaritang dinurog na sili, 3 malalaking dahon ng laurel, 2 tasang patatas hiniwa-hiwa nang malalaking piraso, 2 tasang carrots hiniwa-hiwa nang malalaking piraso, 1 tasang mantika, 2/3 tasang green olives, asin at paminta","Step 1: Initin ang mantika sa kaserola at iprito ang carrots at patatas hanggang maging light brown sila sa lahat ng gilid.

Step 2: Tanggalin ang piniritong carrots at patatas mula sa kaserola at itabi para sa bandang huli.

Step 3: Sa magkatulad na kaserola, igisa ang bawang at sibuyas hanggang mabango at malambot.

Step 4: Idagdag ang baka at bayaang kumulo ng 5 minuto hanggang maging kayumanggi ang karne sa lahat ng gilid.

Step 5: Dagdagan ng tubig at bayaang kumulo ang baka hanggang lumambot, mga 30 minuto kung gagamit ng pressure cooker o 1 hanggang 2 oras kapag gagamit ng ordinaryong kaserola.

Step 6: Idagdag ang tomato sauce at liver spread at pakuluan sa mahinang apoy ng 10 minuto hanggang lumapot ang sarsa.

Step 7: Idagdag ang green olives, carrots, dahon ng laurel, bell pepper, dinurog na sili, at patatas. Bayaang kumulo sa mahinang apoy ng 5 hanggang 8 minuto.

Step 8: Wisikan ng asin at paminta pampalasa ayon sa panlasa at ihain nang mainit.",Ulam (Main Dish),"Maalat, Matamis-Asim, Malasa, Malakas ang Lasa",Calories: ~450 kcal | Protein: ~34g | Fat: ~26g | Carbs: ~22g | Sodium: ~600mg,20,120,6,Difficult,High Cost,"Baka, Kaldereta, Filipino, Ulam, Espesyal, Handaan, Pamilya","Tanghalian, Hapunan","Festive, Proud, Special occasion, Indulgent, Celebratory",
